ts_ns,bid_px,bid_qty,ask_px,ask_qty
1756090897682000000,-9223372036854775808,0,9223372036854775807,0
1756090897682000000,-9223372036854775808,0,9223372036854775807,0
1756090898182000000,-9223372036854775808,0,9223372036854775807,0
1756090898382000000,-9223372036854775808,0,9223372036854775807,0
1756090898382000000,-9223372036854775808,0,9223372036854775807,0
1756090898382000000,-9223372036854775808,0,9223372036854775807,0
1756090898382000000,-9223372036854775808,0,9223372036854775807,0
1756090898382000000,-9223372036854775808,0,9223372036854775807,0
1756090898482000000,-9223372036854775808,0,9223372036854775807,0
1756090898482000000,-9223372036854775808,0,9223372036854775807,0
1756090898482000000,-9223372036854775808,0,9223372036854775807,0
1756090898682000000,-9223372036854775808,0,9223372036854775807,0
1756090898782000000,-9223372036854775808,0,9223372036854775807,0
1756090898782000000,-9223372036854775808,0,9223372036854775807,0
1756090899183000000,-9223372036854775808,0,9223372036854775807,0
1756090899183000000,-9223372036854775808,0,9223372036854775807,0
1756090899683000000,-9223372036854775808,0,9223372036854775807,0
1756090899783000000,-9223372036854775808,0,9223372036854775807,0
1756090899783000000,-9223372036854775808,0,9223372036854775807,0
1756090899883000000,-9223372036854775808,0,9223372036854775807,0
1756090899883000000,-9223372036854775808,0,9223372036854775807,0
1756090900183000000,-9223372036854775808,0,9223372036854775807,0
1756090900183000000,-9223372036854775808,0,9223372036854775807,0
1756090900183000000,-9223372036854775808,0,9223372036854775807,0
1756090900283000000,-9223372036854775808,0,9223372036854775807,0
1756090900283000000,-9223372036854775808,0,9223372036854775807,0
1756090900283000000,-9223372036854775808,0,9223372036854775807,0
1756090900383000000,-9223372036854775808,0,9223372036854775807,0
1756090900383000000,-9223372036854775808,0,9223372036854775807,0
1756090900484000000,-9223372036854775808,0,9223372036854775807,0
1756090900484000000,-9223372036854775808,0,9223372036854775807,0
1756090900584000000,-9223372036854775808,0,9223372036854775807,0
1756090900684000000,-9223372036854775808,0,9223372036854775807,0
1756090901284000000,-9223372036854775808,0,9223372036854775807,0
1756090901384000000,-9223372036854775808,0,9223372036854775807,0
1756090901384000000,-9223372036854775808,0,9223372036854775807,0
1756090901384000000,-9223372036854775808,0,9223372036854775807,0
1756090901384000000,-9223372036854775808,0,9223372036854775807,0
1756090901484000000,-9223372036854775808,0,9223372036854775807,0
1756090901484000000,-9223372036854775808,0,9223372036854775807,0
1756090901484000000,-9223372036854775808,0,9223372036854775807,0
1756090901484000000,-9223372036854775808,0,9223372036854775807,0
1756090901885000000,-9223372036854775808,0,9223372036854775807,0
1756090901885000000,-9223372036854775808,0,9223372036854775807,0
1756090901885000000,-9223372036854775808,0,9223372036854775807,0
1756090901985000000,-9223372036854775808,0,9223372036854775807,0
1756090901985000000,-9223372036854775808,0,9223372036854775807,0
1756090901985000000,-9223372036854775808,0,9223372036854775807,0
1756090902185000000,-9223372036854775808,0,9223372036854775807,0
1756090902285000000,-9223372036854775808,0,9223372036854775807,0
1756090902285000000,-9223372036854775808,0,9223372036854775807,0
1756090902685000000,-9223372036854775808,0,9223372036854775807,0
1756090902885000000,-9223372036854775808,0,9223372036854775807,0
1756090902885000000,-9223372036854775808,0,9223372036854775807,0
1756090902885000000,-9223372036854775808,0,9223372036854775807,0
1756090902885000000,-9223372036854775808,0,9223372036854775807,0
1756090902885000000,-9223372036854775808,0,9223372036854775807,0
1756090902985000000,-9223372036854775808,0,9223372036854775807,0
1756090902985000000,-9223372036854775808,0,9223372036854775807,0
1756090902985000000,-9223372036854775808,0,9223372036854775807,0
1756090902985000000,-9223372036854775808,0,9223372036854775807,0
1756090902985000000,-9223372036854775808,0,9223372036854775807,0
1756090903786000000,-9223372036854775808,0,9223372036854775807,0
1756090903886000000,-9223372036854775808,0,9223372036854775807,0
1756090903886000000,-9223372036854775808,0,9223372036854775807,0
1756090903886000000,-9223372036854775808,0,9223372036854775807,0
1756090903986000000,-9223372036854775808,0,9223372036854775807,0
1756090903986000000,-9223372036854775808,0,9223372036854775807,0
1756090903986000000,-9223372036854775808,0,9223372036854775807,0
1756090903986000000,-9223372036854775808,0,9223372036854775807,0
1756090904286000000,-9223372036854775808,0,9223372036854775807,0
1756090904286000000,-9223372036854775808,0,9223372036854775807,0
1756090904286000000,-9223372036854775808,0,9223372036854775807,0
1756090904386000000,-9223372036854775808,0,9223372036854775807,0
1756090904386000000,-9223372036854775808,0,9223372036854775807,0
1756090904487000000,-9223372036854775808,0,9223372036854775807,0
1756090904487000000,-9223372036854775808,0,9223372036854775807,0
1756090904787000000,-9223372036854775808,0,9223372036854775807,0
1756090904887000000,-9223372036854775808,0,9223372036854775807,0
1756090904887000000,-9223372036854775808,0,9223372036854775807,0
1756090904887000000,-9223372036854775808,0,9223372036854775807,0
1756090905187000000,-9223372036854775808,0,9223372036854775807,0
1756090905487000000,-9223372036854775808,0,9223372036854775807,0
1756090905587000000,-9223372036854775808,0,9223372036854775807,0
1756090905587000000,-9223372036854775808,0,9223372036854775807,0
1756090905587000000,-9223372036854775808,0,9223372036854775807,0
1756090905687000000,-9223372036854775808,0,9223372036854775807,0
1756090905687000000,-9223372036854775808,0,9223372036854775807,0
1756090906588000000,-9223372036854775808,0,9223372036854775807,0
1756090906588000000,-9223372036854775808,0,9223372036854775807,0
1756090906588000000,-9223372036854775808,0,9223372036854775807,0
1756090906688000000,-9223372036854775808,0,9223372036854775807,0
1756090906688000000,-9223372036854775808,0,9223372036854775807,0
1756090907189000000,-9223372036854775808,0,9223372036854775807,0
1756090907289000000,-9223372036854775808,0,9223372036854775807,0
1756090907289000000,-9223372036854775808,0,9223372036854775807,0
1756090907489000000,-9223372036854775808,0,9223372036854775807,0
1756090907589000000,-9223372036854775808,0,9223372036854775807,0
1756090907589000000,-9223372036854775808,0,9223372036854775807,0
1756090907589000000,-9223372036854775808,0,9223372036854775807,0
1756090907589000000,-9223372036854775808,0,9223372036854775807,0
1756090907689000000,-9223372036854775808,0,9223372036854775807,0
1756090907689000000,-9223372036854775808,0,9223372036854775807,0
1756090907689000000,-9223372036854775808,0,9223372036854775807,0
1756090907689000000,-9223372036854775808,0,9223372036854775807,0
1756090907889000000,-9223372036854775808,0,9223372036854775807,0
1756090907889000000,-9223372036854775808,0,9223372036854775807,0
1756090908089000000,-9223372036854775808,0,9223372036854775807,0
1756090908189000000,-9223372036854775808,0,9223372036854775807,0
1756090908189000000,-9223372036854775808,0,9223372036854775807,0
1756090908189000000,-9223372036854775808,0,9223372036854775807,0
1756090908289000000,-9223372036854775808,0,9223372036854775807,0
1756090908289000000,-9223372036854775808,0,9223372036854775807,0
1756090908590000000,-9223372036854775808,0,9223372036854775807,0
1756090909090000000,-9223372036854775808,0,9223372036854775807,0
1756090909090000000,-9223372036854775808,0,9223372036854775807,0
1756090909090000000,-9223372036854775808,0,9223372036854775807,0
1756090909090000000,-9223372036854775808,0,9223372036854775807,0
1756090909190000000,-9223372036854775808,0,9223372036854775807,0
1756090909190000000,-9223372036854775808,0,9223372036854775807,0
1756090909590000000,-9223372036854775808,0,9223372036854775807,0
1756090909690000000,-9223372036854775808,0,9223372036854775807,0
1756090909790000000,-9223372036854775808,0,9223372036854775807,0
1756090909790000000,-9223372036854775808,0,9223372036854775807,0
1756090910091000000,-9223372036854775808,0,9223372036854775807,0
1756090910091000000,-9223372036854775808,0,9223372036854775807,0
1756090910091000000,-9223372036854775808,0,9223372036854775807,0
1756090910191000000,-9223372036854775808,0,9223372036854775807,0
1756090910191000000,-9223372036854775808,0,9223372036854775807,0
1756090910191000000,-9223372036854775808,0,9223372036854775807,0
1756090910191000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910291000000,-9223372036854775808,0,9223372036854775807,0
1756090910391000000,-9223372036854775808,0,9223372036854775807,0
1756090910391000000,-9223372036854775808,0,9223372036854775807,0
1756090910491000000,-9223372036854775808,0,9223372036854775807,0
1756090911091000000,-9223372036854775808,0,9223372036854775807,0
1756090911091000000,-9223372036854775808,0,9223372036854775807,0
1756090911091000000,-9223372036854775808,0,9223372036854775807,0
1756090911191000000,-9223372036854775808,0,9223372036854775807,0
1756090911191000000,-9223372036854775808,0,9223372036854775807,0
1756090911191000000,-9223372036854775808,0,9223372036854775807,0
1756090911191000000,-9223372036854775808,0,9223372036854775807,0
1756090912192000000,-9223372036854775808,0,9223372036854775807,0
1756090912192000000,-9223372036854775808,0,9223372036854775807,0
1756090912192000000,-9223372036854775808,0,9223372036854775807,0
1756090912192000000,-9223372036854775808,0,9223372036854775807,0
1756090912292000000,-9223372036854775808,0,9223372036854775807,0
1756090912292000000,-9223372036854775808,0,9223372036854775807,0
1756090912292000000,-9223372036854775808,0,9223372036854775807,0
1756090912292000000,-9223372036854775808,0,9223372036854775807,0
1756090913093000000,-9223372036854775808,0,9223372036854775807,0
1756090913193000000,-9223372036854775808,0,9223372036854775807,0
1756090913193000000,-9223372036854775808,0,9223372036854775807,0
1756090913193000000,-9223372036854775808,0,9223372036854775807,0
1756090913293000000,-9223372036854775808,0,9223372036854775807,0
1756090913293000000,-9223372036854775808,0,9223372036854775807,0
1756090913293000000,-9223372036854775808,0,9223372036854775807,0
1756090913293000000,-9223372036854775808,0,9223372036854775807,0
1756090913893000000,-9223372036854775808,0,9223372036854775807,0
1756090913993000000,-9223372036854775808,0,9223372036854775807,0
1756090914094000000,-9223372036854775808,0,9223372036854775807,0
1756090914094000000,-9223372036854775808,0,9223372036854775807,0
1756090914194000000,-9223372036854775808,0,9223372036854775807,0
1756090914194000000,-9223372036854775808,0,9223372036854775807,0
1756090914194000000,-9223372036854775808,0,9223372036854775807,0
1756090914194000000,-9223372036854775808,0,9223372036854775807,0
1756090914194000000,-9223372036854775808,0,9223372036854775807,0
1756090914294000000,-9223372036854775808,0,9223372036854775807,0
1756090914294000000,-9223372036854775808,0,9223372036854775807,0
1756090914294000000,-9223372036854775808,0,9223372036854775807,0
1756090914294000000,-9223372036854775808,0,9223372036854775807,0
1756090914794000000,-9223372036854775808,0,9223372036854775807,0
1756090914794000000,-9223372036854775808,0,9223372036854775807,0
1756090915294000000,-9223372036854775808,0,9223372036854775807,0
1756090915294000000,-9223372036854775808,0,9223372036854775807,0
1756090915395000000,-9223372036854775808,0,9223372036854775807,0
1756090915395000000,-9223372036854775808,0,9223372036854775807,0
1756090915595000000,-9223372036854775808,0,9223372036854775807,0
1756090916095000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916195000000,-9223372036854775808,0,9223372036854775807,0
1756090916266000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916295000000,-9223372036854775808,0,9223372036854775807,0
1756090916395000000,-9223372036854775808,0,9223372036854775807,0
1756090916395000000,-9223372036854775808,0,9223372036854775807,0
1756090916495000000,-9223372036854775808,0,9223372036854775807,0
1756090916996000000,-9223372036854775808,0,9223372036854775807,0
1756090917096000000,-9223372036854775808,0,9223372036854775807,0
1756090917196000000,-9223372036854775808,0,9223372036854775807,0
1756090917196000000,-9223372036854775808,0,9223372036854775807,0
1756090917196000000,-9223372036854775808,0,9223372036854775807,0
1756090917296000000,-9223372036854775808,0,9223372036854775807,0
1756090917296000000,-9223372036854775808,0,9223372036854775807,0
1756090917296000000,-9223372036854775808,0,9223372036854775807,0
1756090917296000000,-9223372036854775808,0,9223372036854775807,0
1756090917396000000,-9223372036854775808,0,9223372036854775807,0
1756090917396000000,-9223372036854775808,0,9223372036854775807,0
1756090917396000000,-9223372036854775808,0,9223372036854775807,0
1756090917396000000,-9223372036854775808,0,9223372036854775807,0
1756090917996000000,-9223372036854775808,0,9223372036854775807,0
1756090918197000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918297000000,-9223372036854775808,0,9223372036854775807,0
1756090918397000000,-9223372036854775808,0,9223372036854775807,0
1756090918397000000,-9223372036854775808,0,9223372036854775807,0
1756090918397000000,-9223372036854775808,0,9223372036854775807,0
1756090918397000000,-9223372036854775808,0,9223372036854775807,0
1756090918697000000,-9223372036854775808,0,9223372036854775807,0
1756090918697000000,-9223372036854775808,0,9223372036854775807,0
1756090919197000000,-9223372036854775808,0,9223372036854775807,0
