ts_ns,type,side,price,qty
1756090860555000000,book,B,113152.51,0.0
1756090860555000000,book,A,113450.98,0.09721
1756090860555000000,book,A,113451.01,0.0
1756090860555000000,book,A,141574.17,0.00045
1756090860655000000,book,B,113152.52,0.0
1756090860655000000,book,B,113152.5,0.1224
1756090860655000000,book,A,113464.26,0.0
1756090860655000000,book,A,113464.27,0.0
1756090860655000000,book,A,113528.35,0.59379
1756090860755000000,book,A,113619.99,0.0
1756090860755000000,book,A,113624.28,0.1001
1756090860855000000,book,A,113450.97,0.0416
1756090860855000000,book,A,113450.99,0.0
1756090860855000000,book,A,113451.0,0.0
1756090860855000000,book,A,113478.68,0.34373
1756090860955000000,book,A,113478.67,0.59379
1756090860955000000,book,A,113528.35,0.0
1756090861555000000,book,A,113528.36,0.0
1756090861555000000,book,A,141574.17,0.00045
1756090861655000000,book,A,113543.13,0.02118
1756090861856000000,book,B,113225.33,0.0
1756090861956000000,book,B,113225.34,0.0
1756090861956000000,book,B,113225.33,0.04
1756090861956000000,book,B,113225.32,0.11787
1756090862056000000,book,B,113225.34,0.11787
1756090862056000000,book,B,113225.32,0.0
1756090862956000000,book,B,113225.33,0.0
1756090863056000000,book,B,113225.34,0.0
1756090863056000000,book,B,113225.33,0.04
1756090863056000000,book,B,113225.32,0.11787
1756090863157000000,book,B,113225.34,0.11787
1756090863157000000,book,B,113225.32,0.0
1756090863257000000,book,A,141574.17,0.00036
1756090864057000000,book,A,141574.17,0.00027
1756090864758000000,book,B,113225.35,0.00373
1756090864858000000,book,B,113225.36,0.11787
1756090864858000000,book,B,113225.34,0.0
1756090865330000000,trade,B,113450.97,0.00441
1756090865358000000,book,A,113450.97,0.03719
1756090865758000000,book,B,113225.33,0.0
1756090865859000000,book,B,113225.38,0.04
1756090865859000000,book,B,113225.37,0.1224
1756090865859000000,book,B,113152.5,0.0
1756090865859000000,book,A,113450.96,0.09721
1756090865859000000,book,A,113450.98,0.0
1756090865959000000,book,B,113225.39,0.11787
1756090865959000000,book,B,113225.36,0.0
1756090865959000000,book,A,113624.28,0.0
1756090865959000000,book,A,113681.99,0.1001
1756090866259000000,book,A,113450.95,0.04031
1756090866259000000,book,A,113450.97,0.0
1756090867159000000,book,B,113225.31,0.0
1756090867260000000,book,B,113225.38,0.0
1756090867260000000,book,A,141574.17,0.00018
1756090867360000000,book,B,113225.39,0.04
1756090867360000000,book,B,113225.38,0.11787
1756090867460000000,book,B,113225.4,0.11787
1756090867460000000,book,B,113225.38,0.0
1756090867560000000,book,B,113225.37,0.0
1756090867560000000,book,A,113450.96,0.0
1756090867660000000,book,B,113152.5,0.1224
1756090867660000000,book,A,113450.94,0.09721
1756090867860000000,book,B,113225.35,0.0
1756090867860000000,book,A,113478.68,0.0
1756090867960000000,book,B,113225.41,0.00379
1756090867960000000,book,A,113450.93,0.04149
1756090867960000000,book,A,113450.95,0.0
1756090867960000000,book,A,113471.61,0.34373
1756090867960000000,book,A,113478.67,0.0
1756090867960000000,book,A,113528.37,0.59379
1756090868060000000,book,B,113225.42,0.11787
1756090868060000000,book,B,113225.4,0.0
1756090868260000000,book,A,141574.17,9e-05
