ts,side,price,qty,type,ts_ns
1756086315883000000,B,112549.48,0.00033,book,1756086315883000000
1756086316583000000,B,112549.51,0.04047,book,1756086316583000000
1756086316583000000,A,113059.72,0.04,book,1756086316583000000
1756086316684000000,B,112549.52,0.09997,book,1756086316684000000
1756086316684000000,B,112549.5,0.0,book,1756086316684000000
1756086316684000000,A,113059.71,0.71188,book,1756086316684000000
1756086316684000000,A,113059.73,0.0,book,1756086316684000000
1756086316684000000,A,113059.81,0.0,book,1756086316684000000
1756086316784000000,A,113059.72,0.04058,book,1756086316784000000
1756086317384000000,A,113060.12,0.0,book,1756086317384000000
1756086317484000000,A,113059.64,0.03804,book,1756086317484000000
1756086317484000000,A,140978.35,0.00045,book,1756086317484000000
1756086317584000000,B,112549.53,0.04,book,1756086317584000000
1756086317584000000,B,112549.51,0.0,book,1756086317584000000
1756086317584000000,A,113059.62,0.04078,book,1756086317584000000
1756086317584000000,A,113059.63,0.71188,book,1756086317584000000
1756086317584000000,A,113059.71,0.0,book,1756086317584000000
1756086317584000000,A,113059.72,0.00058,book,1756086317584000000
1756086317684000000,B,112549.54,0.09997,book,1756086317684000000
1756086317684000000,B,112549.52,0.0,book,1756086317684000000
1756086317684000000,A,113059.61,0.71188,book,1756086317684000000
1756086317684000000,A,113059.63,0.0,book,1756086317684000000
1756086317684000000,A,113059.77,0.0,book,1756086317684000000
1756086317784000000,A,113059.6,0.44853,book,1756086317784000000
1756086317884000000,A,113059.59,0.71188,book,1756086317884000000
1756086317884000000,A,113059.61,0.0,book,1756086317884000000
1756086317884000000,A,113062.45,0.0,book,1756086317884000000
1756086317884000000,A,113062.59,0.0,book,1756086317884000000
1756086317884000000,A,113063.49,0.0,book,1756086317884000000
1756086318085000000,B,112549.48,0.0,book,1756086318085000000
1756086318085000000,A,113059.58,0.01776,book,1756086318085000000
1756086318085000000,A,113059.95,0.0,book,1756086318085000000
1756086318185000000,A,113059.57,0.71188,book,1756086318185000000
1756086318185000000,A,113059.59,0.0,book,1756086318185000000
1756086318685000000,B,112549.55,0.04,book,1756086318685000000
1756086318685000000,B,112549.53,0.0,book,1756086318685000000
1756086318685000000,A,113059.56,0.04078,book,1756086318685000000
1756086318685000000,A,113059.62,0.0,book,1756086318685000000
1756086318685000000,A,140978.35,0.00036,book,1756086318685000000
1756086318785000000,B,112549.56,0.09997,book,1756086318785000000
1756086318785000000,B,112549.54,0.0,book,1756086318785000000
1756086318785000000,A,113059.55,0.71188,book,1756086318785000000
1756086318785000000,A,113059.57,0.0,book,1756086318785000000
1756086318885000000,B,112549.57,0.009,book,1756086318885000000
1756086318885000000,B,112203.0,0.1224,book,1756086318885000000
1756086318885000000,B,112173.0,0.0,book,1756086318885000000
